2:[2, Nice room with view over see, 2, 0, 2023-11-13, 0]
3:[2, Nice room with view over see, 4, 0, 2023-12-19, 0]
4:[2, Nice room with view over see, 0, 0, 0, 1]
5:[2, Nice room with view over see, 0, 0, 0, 1]
6:[3, Nice room with view over see, 0, 0, 0, 1]
7:[3, Nice room with view over see, 0, 0, 0, 1]
8:[3, Nice room with view over see, 0, 0, 0, 1]
9:[3, Nice room with view over see, 0, 0, 0, 1]
10:[4, Nice room with view over see, 0, 0, 0, 1]
11:[4, Nice room with view over see, 0, 0, 0, 1]
12:[4, Nice room with view over see, 0, 0, 0, 1]
13:[4, Nice room with view over see, 0, 0, 0, 1]
14:[4, Nice room with view over see, 0, 0, 0, 1]
15:[5, Special sweet, 0, 0, 0, 1]
16:[5, Special sweet, 0, 0, 0, 1]
17:[5, Special sweet, 0, 0, 0, X]
